"ENTREZID","SYMBOL","distanceToTSS","annotation","fold_change"
"9379","NRXN2",1026,"Promoter (1-2kb)",1.29920686785667
"5187","PER1",923,"Promoter (<=1kb)",1.29898770858195
"25759","SHC2",-5260,"Intron (ENST00000264554.11/25759, intron 9 of 12)",1.29894028679283
"2242","FES",1712,"Promoter (1-2kb)",1.29872359988575
"158056","MAMDC4",0,"Promoter (<=1kb)",1.29871548095262
"3978","LIG1",2352,"Promoter (2-3kb)",1.29857962383616
"100151684","RNU6ATAC",-14487,"Distal Intergenic",1.29792001220994
"3196","TLX2",1027,"Promoter (1-2kb)",1.29724543176422
"220001","VWCE",-9034,"3' UTR",1.29544954609572
"64094","SMOC2",-46609,"Distal Intergenic",1.29424218526327
"112267908","LOC112267908",0,"Promoter (<=1kb)",1.29404344308162
"102465493","MIR6821",5839,"Distal Intergenic",1.29392315713981
"63035","BCORL1",-1826,"Promoter (1-2kb)",1.29316797867092
"2691","GHRH",3339,"Intron (ENST00000373614.7/2691, intron 1 of 4)",1.29314687429865
"3265","HRAS",3430,"Intron (ENST00000702393.1/115399, intron 2 of 2)",1.29259491855717
"150209","AIFM3",713,"Promoter (<=1kb)",1.29142084652437
"54932","EXD3",796,"Promoter (<=1kb)",1.29134698257811
"84275","SLC25A33",-18744,"Distal Intergenic",1.29128692850087
"6614","SIGLEC1",0,"Promoter (<=1kb)",1.29086661596784
"2902","GRIN1",2269,"Promoter (2-3kb)",1.29081070382109
"116444","GRIN3B",1061,"Promoter (1-2kb)",1.2896374503156
"8877","SPHK1",0,"Promoter (<=1kb)",1.28845588021297
"170463","SSBP4",237,"Promoter (<=1kb)",1.2879383037041
"89766","UMODL1",0,"Promoter (<=1kb)",1.28773468150914
"3757","KCNH2",879,"Promoter (<=1kb)",1.28674511825336
"84069","PLEKHN1",442,"Promoter (<=1kb)",1.28603408729198
"100616121","MIR1268B",-2029,"Promoter (2-3kb)",1.28587632501908
"100616421","MIR4689",41583,"Distal Intergenic",1.28563797846455
"64174","DPEP2",1045,"Promoter (1-2kb)",1.28541439762826
"220004","SAXO4",1211,"Promoter (1-2kb)",1.28342566197948
"5064","PALM",2211,"Promoter (2-3kb)",1.2825884494321
"64131","XYLT1",1213,"Promoter (1-2kb)",1.28246050940251
"152877","FAM53A",48025,"Distal Intergenic",1.28244337190988
"7148","TNXB",-1297,"Promoter (1-2kb)",1.28238310995208
"94015","TTYH2",0,"Promoter (<=1kb)",1.28226229340542
"84224","NBPF3",-3958,"Exon (ENST00000436658.1/ENST00000436658.1, exon 3 of 5)",1.28190396740239
"3663","IRF5",-4615,"Distal Intergenic",1.28164236470618
"3757","KCNH2",5545,"Intron (ENST00000262186.10/3757, intron 2 of 14)",1.28153780214994
"3978","LIG1",-285,"Promoter (<=1kb)",1.28150344777332
"100507218","RNF157-AS1",58,"Promoter (<=1kb)",1.28140048307679
"29","ABR",1113,"Promoter (1-2kb)",1.28132930201802
"5154","PDGFA",961,"Promoter (<=1kb)",1.2809737568547
"157848","NKX6-3",-470,"Promoter (<=1kb)",1.28023989326446
"140625","ACTRT2",-20225,"Distal Intergenic",1.28016704764596
"114822","RHPN1",15179,"Distal Intergenic",1.27980972679844
"285489","DOK7",903,"Promoter (<=1kb)",1.27979138299341
"23136","EPB41L3",331,"Promoter (<=1kb)",1.27951935467483
