"ENTREZID","SYMBOL","distanceToTSS","annotation","fold_change","p_value","FDR"
"9180","OSMR",25260,"Intron (ENST00000502536.5/9180, intron 2 of 6)",1.69315719266878,7.27980911269595e-14,3.93130026747907e-12
"10602","CDC42EP3",26272,"Intron (ENST00000453555.1/10602, intron 2 of 3)",1.69240062590382,1.14050343533251e-12,4.14461520963974e-11
"138255","CFAP95",76378,"Intron (ENST00000377197.8/138255, intron 5 of 5)",1.69157658918281,4.6441645201256e-16,5.10145640156751e-14
"105376762","KAZN-AS1",3535,"Exon (ENST00000666654.1/105376762, exon 6 of 7)",1.68746372597997,6.99826493194214e-15,5.41189823716949e-13
"100847053","MIR5702",230484,"Distal Intergenic",1.68570633965664,2.06505777074567e-12,6.81292864877578e-11
"63971","KIF13A",-46265,"Intron (ENST00000378814.9/63971, intron 4 of 37)",1.68528410781563,5.57671781184948e-20,2.29392947779758e-17
"136319","MTPN",52017,"Intron (ENST00000419211.2/ENST00000419211.2, intron 1 of 2)",1.68440826761437,6.93401699524949e-13,2.70818890038704e-11
"10656","KHDRBS3",-21756,"Intron (ENST00000355849.10/10656, intron 1 of 8)",1.68385324234897,2.34192212669675e-12,7.6609780838288e-11
"221895","JAZF1",-15769,"Intron (ENST00000283928.10/221895, intron 1 of 4)",1.68332002682871,5.58583004835619e-10,8.48984688088603e-09
"83938","LRMDA",-7144,"Intron (ENST00000611255.5/83938, intron 6 of 6)",1.68161437594222,1.16685613467973e-12,4.21660367322677e-11
"7567","ZNF19",3350,"3' UTR",1.67956184361433,1.14665640413699e-12,4.15915727226651e-11
"10658","CELF1",0,"Promoter (<=1kb)",1.67915618864267,1.53684643744469e-16,1.92934105033235e-14
"100379345","MIR181A2HG",0,"Promoter (<=1kb)",1.67833959046862,2.53572509047115e-14,1.63957100916651e-12
"23043","TNIK",32532,"Exon (ENST00000436636.7/23043, exon 6 of 33)",1.67677970449491,3.56880091265944e-18,7.84041227777784e-16
"26509","MYOF",17199,"Intron (ENST00000359263.9/26509, intron 1 of 53)",1.67517016588347,2.08937377264914e-14,1.40745167758278e-12
"23576","DDAH1",13020,"Exon (ENST00000426125.1/ENST00000426125.1, exon 3 of 3)",1.67432517349687,4.90592327411617e-24,7.90385122154066e-21
"101927397","LOC101927397",-88830,"Intron (ENST00000503145.1/ENST00000503145.1, intron 1 of 2)",1.6741693261051,2.62563804943987e-11,6.27459337575043e-10
"29887","SNX10",-464,"Promoter (<=1kb)",1.67260152527587,1.04150242147885e-06,5.48708958621555e-06
"7227","TRPS1",43318,"Intron (ENST00000640765.1/7227, intron 4 of 5)",1.67119108094396,5.58710289781969e-07,3.18817769550024e-06
"2299","FOXI1",25887,"Distal Intergenic",1.67009649730226,1.58759675685698e-09,2.05304402008803e-08
"200734","SPRED2",0,"Promoter (<=1kb)",1.66987827840891,6.00342889196684e-16,6.17363248768059e-14
"107984773","LINC01852",2168,"Promoter (2-3kb)",1.66850414136379,1.46441475525542e-07,1.0125726202916e-06
"101927574","LINC01186",66160,"Intron (ENST00000668280.1/101927574, intron 3 of 3)",1.66795929544976,4.13764248837501e-12,1.25973294846857e-10
"2171","FABP5",80108,"Distal Intergenic",1.6670665309636,2.74952941652589e-11,6.51429561393321e-10
"158471","PRUNE2",50191,"Exon (ENST00000643823.1/50652, exon 6 of 7)",1.66444223568216,6.5825540978348e-12,1.90224990094829e-10
"80263","TRIM45",-23555,"3' UTR",1.66400986200372,1.78004719562149e-16,2.19195238426435e-14
"221037","JMJD1C",0,"Promoter (<=1kb)",1.66399066978183,1.73834179404144e-09,2.21684445278385e-08
"2113","ETS1",192,"Promoter (<=1kb)",1.66346494053819,6.92789383628532e-25,1.33936971536904e-21
"22891","ZNF365",205262,"Intron (ENST00000647733.1/22891, intron 4 of 7)",1.66018860767532,4.80835696731866e-22,3.71839860996686e-19
"100874243","PRICKLE2-AS3",0,"Promoter (<=1kb)",1.65970525647647,2.13025545319615e-16,2.54223633806427e-14
"100302287","MIR548H3",0,"Promoter (<=1kb)",1.65820947507228,3.88621397156416e-22,3.26661629183695e-19
"4316","MMP7",-20449,"Distal Intergenic",1.65806322742061,3.74482565903668e-18,8.13468701866922e-16
"23092","ARHGAP26",-5878,"Intron (ENST00000645722.2/23092, intron 20 of 22)",1.65651303699035,5.62792888610881e-11,1.19829018893328e-09
"83734","ATG10",-4318,"Intron (ENST00000282185.8/83734, intron 3 of 7)",1.65640050251055,1.02912406291147e-08,1.01926513874321e-07
"27067","STAU2",20582,"3' UTR",1.65569941625186,5.2484290203545e-10,8.04024391842421e-09
"4591","TRIM37",10483,"Intron (ENST00000393066.7/4591, intron 2 of 24)",1.65514739816472,6.08343192767854e-13,2.44513491596277e-11
"693195","MIR610",-121627,"Distal Intergenic",1.65437491333569,3.70009961806588e-11,8.33729905781674e-10
"100616530","CFAP418-AS1",82080,"Intron (ENST00000671532.1/100616530, intron 3 of 3)",1.65363380532591,1.51435697905341e-12,5.2373995484865e-11
"84909","AOPEP",4289,"Intron (ENST00000375315.8/84909, intron 13 of 16)",1.65355928532922,2.87587715544822e-16,3.27147954081713e-14
"7402","UTRN",71036,"Intron (ENST00000367545.8/7402, intron 3 of 74)",1.65308238772143,1.88388251493855e-13,8.75507227435263e-12
"3556","IL1RAP",1927,"Promoter (1-2kb)",1.65270651419539,8.22979445345567e-11,1.66082062806533e-09
"169792","GLIS3",0,"Promoter (<=1kb)",1.6520577526988,7.73226990110112e-17,1.09917627939697e-14
"5784","PTPN14",-68333,"Intron (ENST00000366956.10/5784, intron 3 of 18)",1.65125608145393,2.75100030858912e-13,1.18752908909937e-11
"8460","TPST1",59558,"Intron (ENST00000480281.5/8460, intron 1 of 4)",1.65113785218188,9.55203265274283e-17,1.30971239202466e-14
"101928404","RGS5-AS1",9128,"Intron (ENST00000415437.1/101928404, intron 2 of 3)",1.64975987884421,2.21837499253631e-10,3.84989620562877e-09
"3480","IGF1R",0,"Promoter (<=1kb)",1.64938783903509,8.32223090083708e-14,4.3718841444549e-12
"3575","IL7R",0,"Promoter (<=1kb)",1.64935946957191,1.57157123571006e-18,3.84597299999779e-16
"9448","MAP4K4",-44023,"Intron (ENST00000427603.5/9448, intron 3 of 4)",1.64915183826331,4.26915158371846e-18,8.97125082261185e-16
"22836","RHOBTB3",-6586,"Intron (ENST00000379982.8/22836, intron 6 of 11)",1.648595113253,1.87605591738917e-08,1.71164648659202e-07
"136319","MTPN",0,"Promoter (<=1kb)",1.64422886263482,3.27233758084893e-08,2.78451155152079e-07
"221037","JMJD1C",-31224,"Intron (ENST00000373758.5/221035, intron 1 of 7)",1.64403771361355,8.75056935883425e-13,3.31066061476209e-11
"84847","LINC00525",1334,"Promoter (1-2kb)",1.64339040026796,1.43237524064857e-15,1.30009908579619e-13
"2908","NR3C1",0,"Promoter (<=1kb)",1.64299281256522,5.55288998827138e-17,8.109834077013e-15
"101927574","LINC01186",0,"Promoter (<=1kb)",1.63927300316134,6.82862091993951e-15,5.32329549375768e-13
"404672","GTF2H5",1764,"Promoter (1-2kb)",1.63819117391809,1.72497436782394e-11,4.34796994173927e-10
"4124","MAN2A1",2788,"Promoter (2-3kb)",1.6380676930441,2.55423475066093e-13,1.12742055786593e-11
"2737","GLI3",97018,"Distal Intergenic",1.63691210940264,4.84070000953467e-14,2.84453657399191e-12
"8728","ADAM19",19821,"Intron (ENST00000517951.5/8728, intron 3 of 22)",1.63603107306582,9.27182155724426e-13,3.50101808918366e-11
"100874027","TPRG1-AS2",-9469,"Intron (ENST00000433971.5/285386, intron 9 of 10)",1.635199586653,1.09165633433872e-09,1.49574712344227e-08
"84159","ARID5B",22224,"Intron (ENST00000279873.12/84159, intron 8 of 9)",1.63395809538911,1.05755574132414e-14,7.78538139380804e-13
