"ENTREZID","SYMBOL","distanceToTSS","annotation","fold_change","p_value","FDR"
"55075","UACA",0,"Promoter (<=1kb)",1.3141265353818,1.40373466769432e-10,2.60946176255138e-09
"10644","IGF2BP2",0,"Promoter (<=1kb)",1.31181171294411,1.5387259892187e-09,2.00055074307769e-08
"55187","VPS13D",0,"Promoter (<=1kb)",1.31058603172176,5.51912651603192e-08,4.36049337696956e-07
"6731","SRP72",0,"Promoter (<=1kb)",1.30242432229545,7.52385411479648e-14,4.04051865559334e-12
"55106","SLFN12",0,"Promoter (<=1kb)",1.30178440547874,2.04772233385328e-12,6.77887258225778e-11
"5550","PREP",2603,"Promoter (2-3kb)",1.30152913299643,1.06887491197867e-10,2.08732915891754e-09
"5918","RARRES1",0,"Promoter (<=1kb)",1.30137669650719,3.06185184581065e-11,7.14248231215341e-10
"4233","MET",0,"Promoter (<=1kb)",1.29894826153065,3.08342454056505e-14,1.92918597549334e-12
"5048","PAFAH1B1",-1524,"Promoter (1-2kb)",1.29731242302096,9.39564818570157e-07,5.01369214391853e-06
"5825","ABCD3",0,"Promoter (<=1kb)",1.29631073227815,4.73843096646136e-12,1.42028040115655e-10
"107984012","LOC107984012",1202,"Promoter (1-2kb)",1.29614255662752,1.8008435156652e-11,4.49815344810791e-10
"7042","TGFB2",0,"Promoter (<=1kb)",1.29569694536543,1.04835419184999e-14,7.7734535489133e-13
"6774","STAT3",538,"Promoter (<=1kb)",1.29400398944813,8.55329793855633e-11,1.71536212703433e-09
"101927884","EVA1A-AS",0,"Promoter (<=1kb)",1.29337482966084,1.66121353900184e-12,5.66424009691756e-11
"4781","NFIB",0,"Promoter (<=1kb)",1.29021208275648,6.31081970617648e-13,2.48486919306537e-11
"51065","RPS27L",0,"Promoter (<=1kb)",1.28906975042383,1.52490474278634e-09,1.98658917737792e-08
"5770","PTPN1",0,"Promoter (<=1kb)",1.28642727855676,8.01215213746134e-13,3.06124381963518e-11
"84675","TRIM55",-1270,"Promoter (1-2kb)",1.28616311420172,6.02855681560124e-14,3.36849967965372e-12
"22902","RUFY3",0,"Promoter (<=1kb)",1.28550348066123,1.98200467345014e-09,2.47853145872002e-08
"1266","CNN3",0,"Promoter (<=1kb)",1.28486578727581,4.12227630341692e-15,3.37694778703217e-13
"231","AKR1B1",-2599,"Promoter (2-3kb)",1.28479888692468,6.11343528898928e-09,6.5190868418108e-08
"100506860","LINC00513",0,"Promoter (<=1kb)",1.28439382241913,2.90095900946967e-18,6.67669530119966e-16
"26289","AK5",0,"Promoter (<=1kb)",1.28046240163345,2.01247788198369e-10,3.56293359820427e-09
"7163","TPD52",-2428,"Promoter (2-3kb)",1.27960962267322,1.54357494721508e-11,3.94213136783476e-10
"23332","CLASP1",0,"Promoter (<=1kb)",1.27907819137548,2.42420839752525e-06,1.13617505331771e-05
"100507135","SPART-AS1",0,"Promoter (<=1kb)",1.2754695391131,4.39830944518007e-09,4.889736429193e-08
"23023","TMCC1",0,"Promoter (<=1kb)",1.27513235672585,4.80976787242888e-11,1.04480047502997e-09
"124540","MSI2",-2848,"Promoter (2-3kb)",1.2732343172055,8.30829124381162e-14,4.3718841444549e-12
"161142","GARIN2",-1090,"Promoter (1-2kb)",1.27208386964266,3.64682321110231e-08,3.04158900518727e-07
"23001","WDFY3",0,"Promoter (<=1kb)",1.27176433375535,6.9212845833957e-06,2.8415628551877e-05
"112268009","LOC112268009",0,"Promoter (<=1kb)",1.27153550449538,1.18813498629442e-13,5.90493925193575e-12
"152137","CCDC50",-2054,"Promoter (2-3kb)",1.27131919250935,7.42541636695626e-10,1.07532265634731e-08
"105377272","LOC105377272",-1543,"Promoter (1-2kb)",1.27019613047596,2.38614075129817e-14,1.55848848462323e-12
"950","SCARB2",0,"Promoter (<=1kb)",1.26976258526822,4.48379926766069e-17,6.82561348359717e-15
"5984","RFC4",0,"Promoter (<=1kb)",1.268025009103,1.78605857351789e-08,1.64075789065568e-07
"3575","IL7R",0,"Promoter (<=1kb)",1.26634987091788,7.56200904893756e-13,2.9122773096237e-11
"163479","FNDC7",-1183,"Promoter (1-2kb)",1.26405252522157,1.00371178208743e-11,2.72449979898016e-10
"3660","IRF2",0,"Promoter (<=1kb)",1.26019113402637,4.96411268114282e-07,2.88028782906765e-06
"54585","LZTFL1",2637,"Promoter (2-3kb)",1.25746686880966,5.93421683354446e-08,4.63915139680206e-07
